,Name,Team,Age,Season,Yards
0,Johnny Unitas,BAL,27,1960,365.2532814778806
1,Norm Van Brocklin,PHI,34,1960,417.07389402041827
2,Jim Ninowski,DET,24,1960,-447.6939718035974
3,Milt Plum,CLE,25,1960,488.9664560038891
4,Eddie LeBaron,DAL,30,1960,108.76981040350029
5,Ralph Guglielmi,WAS,27,1960,-65.76592124453077
6,Bobby Layne,PIT,34,1960,302.48395721925135
7,John Brodie,SFO,25,1960,-386.0517744287797
8,John Roach,STL,27,1960,63.35877491492465
9,Billy Wade,RAM,30,1960,-22.248420029168756
10,Zeke Bratkowski,CHI,29,1960,-214.62348079727758
11,Bart Starr,GNB,26,1960,114.07292173067572
12,George Shaw,NYG,27,1960,142.01920272241136
13,Ed Brown,CHI,32,1960,1.4120077783179568
14,Charlie Conerly,NYG,39,1960,-15.105979581915449
15,Frank Ryan,RAM,24,1960,-109.71317452600874
16,Y.A. Tittle,SFO,34,1960,-224.48104035002427
17,Lamar McHan,GNB,28,1960,-141.12421001458438
18,Don Meredith,DAL,22,1960,-210.78512396694214
19,Don Heinrich,DAL,30,1960,-70.16018473505102
20,King Hill,STL,24,1960,-192.76737967914437
21,Rudy Bukich,PIT,30,1960,-10.838842975206603
22,Earl Morrall,DET,26,1960,68.62542537676228
23,Sonny Jurgensen,PHI,26,1960,167.78609625668452
24,M.C. Reynolds,WAS,25,1960,-62.9640252795333
25,Lee Grosscup,NYG,24,1960,-36.803354399611095
26,Buddy Humphrey,RAM,25,1960,-95.57122022362665
27,George Izo,STL,23,1960,-58.57122022362665
28,Tom Tracy,PIT,26,1960,162.89304812834226
29,Eagle Day,WAS,28,1960,-22.410549343704417
30,John David Crow,STL,25,1960,116.82158483228002
31,Paul Hornung,GNB,25,1960,2.285853184248907
32,Ray Brown,BAL,24,1960,-29.01774428779777
33,Len Dawson,CLE,25,1960,-71.01774428779777
34,Frank Gifford,NYG,30,1960,-19.392805055906663
35,Billy Ray Barnes,PHI,25,1960,-21.69640252795333
36,Preston Carpenter,PIT,26,1960,-12.464268351968887
37,Bob Waters,SFO,22,1960,46.53573164803112
38,Jon Arnett,RAM,25,1960,-7.232134175984443
39,Terry Barr,DET,25,1960,-7.232134175984443
40,Dick James,WAS,26,1960,-7.232134175984443
41,John Henry Johnson,PIT,31,1960,7.767865824015557
42,Bobby Mitchell,CLE,25,1960,15.767865824015557
43,Lenny Moore,BAL,27,1960,-7.232134175984443
44,Joe Morrison,NYG,23,1960,-7.232134175984443
45,Pat Summerall,NYG,30,1960,-7.232134175984443
46,Ed Vereb,WAS,26,1960,-7.232134175984443
